input_1, input_2, output
Column1,Column2,Column3
0,0,0
1,1,0
0,0,0
1,0,1
0,1,1
0,1,1
1,1,0
1,0,1
1,0,1
1,1,0
1,0,1
0,1,1
1,0,1
0,1,1
1,0,1
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
0,1,1
1,0,1
0,1,1
1,0,1
1,1,0
1,0,1
1,0,1
0,1,1
1,1,0
1,0,1
0,0,0
0,0,0
0,0,0
1,1,0
1,0,1
0,1,1
1,0,1
0,0,0
1,0,1
0,1,1
1,1,0
1,0,1
1,1,0
0,1,1
1,0,1
0,1,1
0,0,0
1,0,1
1,1,0
0,1,1
0,0,0
0,1,1
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
1,1,0
1,0,1
0,0,0
0,1,1
1,0,1
0,1,1
1,0,1
0,0,0
0,1,1
1,1,0
1,0,1
1,0,1
0,0,0
1,0,1
1,0,1
1,1,0
0,1,1
1,1,0
0,1,1
1,1,0
1,0,1
1,0,1
0,0,0
1,1,0
1,0,1
0,0,0
0,1,1
1,0,1
1,1,0
1,0,1
0,1,1
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,1
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
0,0,0
1,1,0
1,1,0
0,0,0
0,1,1
1,1,0
0,1,1
0,1,1
1,1,0
0,0,0
1,1,0
1,0,1
0,1,1
1,0,1
1,1,0
0,0,0
1,0,1
1,1,0
1,1,0
0,1,1
1,1,0
0,1,1
1,1,0
0,1,1
1,1,0
0,1,1
0,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,0
0,0,0
0,0,0
1,0,1
0,1,1
1,0,1
1,0,1
1,0,1
0,0,0
1,1,0
0,1,1
0,1,1
0,0,0
0,1,1
1,1,0
1,1,0
1,1,0
0,0,0
1,0,1
0,1,1
0,1,1
0,1,1
1,0,1
1,0,1
1,1,0
0,0,0
0,1,1
1,0,1
1,1,0
0,0,0
0,0,0
0,1,1
1,0,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,0
0,0,0
0,1,1
0,0,0
1,1,0
1,1,0
1,0,1
0,0,0
0,1,1
1,1,0
0,1,1
0,0,0
1,1,0
0,1,1
0,1,1
0,0,0
0,1,1
1,0,1
0,0,0
1,1,0
1,1,0
0,1,1
0,1,1
1,0,1
1,0,1
1,1,0
1,0,1
1,1,0
0,1,1
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,1
0,0,0
1,0,1
1,1,0
1,1,0
0,1,1
0,1,1
0,1,1
